ds,yhat,yhat_lower,yhat_upper
2015-01-01,11476.709350373907,-2133.006770824782,25311.628720166686
2015-02-01,9273.604015661844,-5296.567976622909,23993.88333284057
2015-03-01,11660.439049146944,-2971.4856164581,25614.777979174145
2015-04-01,7505.034881572314,-6333.165754541461,22164.095885658717
2015-05-01,11140.759299371812,-2502.0147308827923,25244.99914249856
2015-06-01,13071.885759413939,-847.6900519460705,27657.035779142407
2015-07-01,10834.775438166327,-3578.4463787578266,25185.566995739457
2015-08-01,9072.040067708476,-6061.1103055502435,23998.542959623614
2015-09-01,16121.744475141288,2178.309952733312,30161.0402217764
2015-10-01,15781.970670106559,1394.0376044931145,29294.283541133682
2015-11-01,12854.341139972537,-1653.0368720203967,26712.173256253784
2015-12-01,8745.074280880599,-5034.807062584761,22526.997247777304
2016-01-01,15483.43525056658,459.1766300287305,29844.504552994465
2016-02-01,13416.766378678845,-1424.078806604397,27177.818944666196
2016-03-01,16871.090075458804,3014.5775644149553,31444.42761017686
2016-04-01,10787.608277920672,-3391.775592399125,24941.28837542145
2016-05-01,14245.03241575019,-666.4841092914968,28680.188089649895
2016-06-01,17734.7206670035,3731.966703804095,32588.68843616938
2016-07-01,15518.177737735494,809.738400001096,30668.526981132098
2016-08-01,11623.19824067975,-1822.5155445346934,25971.66644289851
2016-09-01,19071.493645798422,5212.5505022102125,34005.35513779014
2016-10-01,20218.604220020512,6398.822867119511,35084.848220336564
2016-11-01,16900.53849854426,3642.862669572147,31621.10600364468
2016-12-01,13354.53576354329,335.5845982738972,28322.532687399354
2017-01-01,18578.57334846098,4057.360911594736,33351.683761423345
2017-02-01,16063.84425754007,1535.7244000153526,30523.61750780519
2017-03-01,20168.668854813488,6082.91468419832,34615.44352312208
2017-04-01,14716.148858921244,559.4723218454727,29671.101402828277
2017-05-01,18247.324692983355,3395.252673538567,32630.44612513653
2017-06-01,21218.370344009123,7558.4819579501145,35353.35377596217
2017-07-01,18977.489465735085,4134.821768641708,32767.699339851355
2017-08-01,15793.2311428734,595.2399825801842,29884.62449814014
2017-09-01,23128.06334752303,8442.688840795034,37273.83080493953
2017-10-01,23779.417643614768,9037.875003463538,40147.46400066497
2017-11-01,20584.35275113731,6713.512016636937,34799.49991345888
2017-12-01,16840.23266036367,2069.5395070993777,30406.34297299761
2018-01-01,22570.241210580134,7712.615591307302,36558.57735974418
2018-02-01,20217.748992886365,5252.918289793553,35192.6638066958
