ds,yhat,yhat_lower,yhat_upper
2015-01-01,2444.632443150602,93.63050648298211,4766.754999254955
2015-02-01,2003.367336127555,-468.36817568528346,4234.735858159055
2015-03-01,2266.4022237111003,-34.841001166527995,4636.996242185694
2015-04-01,1625.1530727908294,-794.1411731278906,3972.2619983826467
2015-05-01,1971.2345915659648,-379.6938745536073,4246.962738387351
2015-06-01,1994.7595128777455,-304.102416438445,4302.377460528904
2015-07-01,2095.826315574241,-230.88513251343994,4495.096371499378
2015-08-01,1936.4341435258161,-593.4776743364104,4292.365238604506
2015-09-01,3550.201375778239,1269.707642046898,5971.461449017516
2015-10-01,2664.025962768954,455.6469704553224,4771.038002253139
2015-11-01,2324.9722439115776,-57.62143798576084,4489.340749499472
2015-12-01,1833.2847713971032,-566.2198612721662,4201.952421980341
2016-01-01,3133.888715570028,897.1698195879467,5459.523497846603
2016-02-01,2692.3093803040897,438.97419802808105,4944.3380206581005
2016-03-01,2922.091275287164,672.9360364019658,5319.352296463718
2016-04-01,2228.8255124114744,-228.49343427881547,4628.842889414352
2016-05-01,2598.4865373902335,216.45724161477614,4947.470692482736
2016-06-01,2880.623311900136,708.0080532140834,5204.868603001443
2016-07-01,2925.8001130065877,572.9834053313916,5259.964110385374
2016-08-01,2447.0628315630697,113.94527168823393,4723.273557918862
2016-09-01,3851.3632551744868,1473.9809872324925,6290.36126621096
2016-10-01,3535.8950768424093,1210.954565361529,5788.007943169455
2016-11-01,3073.369711000885,652.4390413931619,5294.48153086315
2016-12-01,2621.6292741204734,265.96180936549064,4929.676920936136
2017-01-01,3742.4381614313643,1538.1918982329557,6186.707940993864
2017-02-01,3299.952295563883,1027.0053571930596,5549.965430950552
2017-03-01,3594.992236629962,1300.1451984749435,5814.264088603102
2017-04-01,2918.987696595059,690.2858672572611,5210.715082591523
2017-05-01,3282.1672458875596,868.4668584974623,5529.911948064732
2017-06-01,3477.2639050850566,1043.3165584658614,5772.749918449228
2017-07-01,3537.9970113058985,1140.8481676504462,5769.838190248247
2017-08-01,3165.073060042624,852.0542358139663,5451.372285035248
2017-09-01,4643.924885010809,2367.56106439714,7124.870684983548
2017-10-01,4138.92244953218,2049.800757922177,6618.350774282842
2017-11-01,3715.2524942334253,1295.5112823168822,6204.267074970806
2017-12-01,3248.6668281607144,984.0801303816198,5620.72265770892
2018-01-01,4429.777600159286,1985.1222815424599,6787.435950500219
2018-02-01,3988.206788338109,1438.477928971507,6148.897225211686
2018-03-01,4267.586339500796,1989.6834521584117,6500.020662428756
2018-04-01,3608.924637566796,1357.722476287135,5802.301263925274
2018-05-01,3964.2341258286588,1600.2252372211328,6318.617393407661
2018-06-01,4073.0942945218567,1771.9210173943013,6443.3651532143
2018-07-01,4152.468376771444,1666.4436299712434,6512.3814126495345
2018-08-01,3886.044483963745,1359.5099834900223,6282.002383847977
2018-09-01,5434.739279349325,3047.077283332241,7651.750446535156
2018-10-01,4739.429918297601,2299.8205947847714,6829.370526217955
2018-11-01,4356.91508414421,1988.1088808679287,6634.440620874232
2018-12-01,3877.0203257153225,1569.987314589878,6127.661337617365
2019-01-01,5118.086116284393,2931.684946655261,7437.945865419958
2019-02-01,4676.821181241624,2461.357040447089,6943.706985749871
2019-03-01,4939.856224162555,2631.2287699443946,7287.313099598516
2019-04-01,4298.607245222683,1911.5477172414603,6764.736242693512
2019-05-01,4644.688930429826,2485.104182649296,7137.963363073625
2019-06-01,4668.21402441676,2496.438461362556,7141.868620639952
2019-07-01,4770.021527074019,2436.0282654665225,7184.468546009099
2019-08-01,4611.394744985214,2296.371108084257,6898.433815034088
2019-09-01,6225.927367196768,3997.0647172947547,8604.98832318693
2019-10-01,5340.492654565129,2961.7299771400067,7813.742462127605
2019-11-01,5002.235846783189,2640.9005789001285,7159.273959063301
2019-12-01,4511.319578535422,2189.827561053293,6938.556361969313
2020-01-01,5812.720433785017,3359.569331851369,7988.685305330967
2020-02-01,5371.938009801162,2895.6908482684707,7832.269918380553
2020-03-01,5602.465410746379,3286.522091363662,7904.701656199252
2020-04-01,4909.996568036714,2468.7862074445047,7067.584345749729
2020-05-01,5280.428806079143,2914.985178138493,7774.5736873877695
2020-06-01,5563.362505086452,3336.398385955476,7962.0004900963195
2020-07-01,5610.004136893513,3384.41310679754,7857.623692682186
2020-08-01,5132.780513840222,2838.994579091089,7482.897093234545
2020-09-01,6538.59459584321,4149.838065709763,8971.362532386538
2020-10-01,6224.591248043536,3834.0051747339517,8594.817467945897
2020-11-01,5763.579541324625,3395.3897431401065,8056.568144420314
2020-12-01,5313.303935853142,2908.8879031631122,7594.091773481349
2021-01-01,6435.626482286395,4199.657772195752,8822.982058294672
2021-02-01,5994.654275982029,3745.4072610022663,8284.762090983773
2021-03-01,6291.061439928635,3984.3695702219097,8805.45250831069
2021-04-01,5616.570610940835,3143.073036660114,8094.804539673145
2021-05-01,5981.215041890745,3572.7818592208673,8423.717368704694
2021-06-01,6177.825413228479,3726.6871448513034,8371.89623850492
2021-07-01,6240.023402244478,3869.782806245474,8695.664312425113
2021-08-01,5868.613163201238,3574.6911421362092,8359.791120869791
2021-09-01,7348.978700389802,5046.445062148993,9601.110544936091
2021-10-01,6845.441145534278,4435.703405454721,9101.867988694179
2021-11-01,6423.284900464327,3981.62112727428,8912.731303434763
2021-12-01,5958.164115259067,3674.2605217172522,8559.719790881141
2022-01-01,7140.788597487415,4857.809907046032,9508.668597705773
2022-02-01,6700.7314938881555,4317.615597426327,8968.18780268553
2022-03-01,6981.478265245151,4547.242520791621,9230.938684210087
2022-04-01,6324.330271382783,4085.828043717791,8663.458495696888
2022-05-01,6681.104638424324,4279.7542038734255,8987.01835813092
2022-06-01,6791.478516220192,4488.086308805347,9084.898967654226
2022-07-01,6872.317478605397,4590.34082544479,9289.102049766127
2022-08-01,6607.40729527122,4390.044667667497,9087.294590694697
2022-09-01,8157.615800131261,5866.170258726467,10478.01419982488
2022-10-01,7463.771310097509,5376.8541949416785,9719.773124599109
2022-11-01,7082.770179719921,4798.981260563817,9222.215208330657
2022-12-01,6604.340295913368,4252.729514917389,8796.652226023534
2023-01-01,7846.919790258444,5461.769572573049,10375.459557549915
2023-02-01,7407.168392627081,4919.292702461705,9758.91236514396
2023-03-01,7671.570501367043,5216.33790167919,10002.828282490707
2023-04-01,7031.835059583884,4667.257186992742,9390.755679528178
2023-05-01,7379.38145816898,5095.933014626497,9816.829429447796
2023-06-01,7404.4200893123125,5020.407696821425,9687.75451008564
2023-07-01,7506.951771333476,5084.387968355447,9781.520173140734
2023-08-01,7349.073307920704,4906.037979616234,9648.87134988124
2023-09-01,8964.354248808128,6522.739740077991,11320.753695061936
2023-10-01,8079.643715541219,5773.050603055064,10359.875978509139
2023-11-01,7742.103705750748,5510.680542123991,10081.864863011373
2023-12-01,7251.881112977687,5007.3751234300125,9673.566812166755
2024-01-01,8553.998766217514,6202.5510794742495,10806.111200531166
2024-02-01,8113.933140225061,5935.088871052321,10485.960132643126
2024-03-01,8345.131085819297,6004.652194301434,10867.247112119969
2024-04-01,7653.379032217462,5138.677744810657,10067.52112532875
2024-05-01,8024.504937138388,5779.393656089816,10260.065428654698
2024-06-01,8308.155425253546,5990.238456764229,10493.81172453434
2024-07-01,8354.797110494877,6122.450627278094,10868.942421870755
2024-08-01,7877.573542656087,5613.918661287301,10187.458884778971
2024-09-01,9283.387679872547,7046.395137291631,11756.302737853213
2024-10-01,8969.384385509189,6531.074650265435,11347.238658513012
2024-11-01,8508.372733099777,6192.201921531183,10956.453228596174
2024-12-01,8058.097180186583,5808.729754068909,10443.954586594675
2025-01-01,9180.419780930159,6844.804833227115,11415.798517286468
2025-02-01,8739.447628936285,6415.3974774352055,11013.162128468983
2025-03-01,9035.854795435882,6709.589311345714,11391.041693928097
2025-04-01,8361.363969273782,6119.784282549444,10992.312150543496
2025-05-01,8726.008402959606,6339.931941091552,10905.545166742491
2025-06-01,8922.618777123602,6427.670242124339,11293.971844164644
2025-07-01,8984.81676879608,6670.153774901746,11373.898924070203
2025-08-01,8613.40653249908,6296.7071484222815,11070.025512893293
2025-08-31,10571.543820055878,8175.315393608016,12960.132262462417
2025-09-30,9304.28679348341,6890.438422258009,11672.120388769514
2025-10-31,9060.592094282641,6631.105159369701,11498.800788262417
2025-11-30,8551.240006927952,6319.922659720895,10803.016273661975
2025-12-31,9970.904275275938,7573.946990762267,12223.671728212863
2026-01-31,9528.31517341896,6964.921135318134,11851.157447854124
2026-02-28,9739.731000426691,7313.986632531122,12098.50705905003
2026-03-31,9152.538896014185,6858.674132216928,11441.801625408394
2026-04-30,9464.588110883733,7024.579023303446,11696.797108065059
2026-05-31,9239.976211994452,6790.206056363537,11534.298227741489
2026-06-30,9425.4862147418,6992.023473710993,11922.561599626235
2026-07-31,9590.34104075818,7071.3057232760475,11886.058515050247
2026-08-31,11371.707233487998,9046.310212976166,13747.454619007642
2026-09-30,9913.204653872039,7295.835274535487,12229.164680782582
2026-10-31,9719.886348635599,7373.632161797337,12104.313249425863
2026-11-30,9203.143861077184,6856.535768821682,11423.378461591432
2026-12-31,10680.677694273903,8362.40220192118,13038.522687436422
2027-01-31,10235.86537078356,7973.83914469599,12610.999132803428
2027-02-28,10428.35955938323,8292.218999923618,12853.93814544072
2027-03-31,9858.748381695797,7527.355056849381,12129.348433567162
2027-04-30,10156.480701034234,7907.8314328077295,12527.301163824332
2027-05-31,9851.07586702132,7300.3704216552815,12063.785481021083
2027-06-30,10070.048839000357,7852.776110413969,12519.255297362246
2027-07-31,10342.511568105832,7894.866856121243,12624.670897810414
2027-08-31,12169.396962300732,9933.728412694163,14522.622439107907
2027-09-30,10519.958904366233,8128.062908324573,12553.224472761909
2027-10-31,10379.307293171012,8075.191712236364,12871.244172719675
2027-11-30,9856.583710610634,7486.980258057067,12131.36548149946
2027-12-31,11391.292699823061,8991.900646933704,13733.190345802714
2028-01-31,10943.609342780625,8497.399562462746,13162.869632099813
2028-02-29,11106.114356466966,8806.970638461966,13373.119664812679
2028-03-31,10483.849704702407,8316.620400172895,12838.444432910777
2028-04-30,10820.842761990216,8517.188699747456,12990.331774479344
2028-05-31,10761.543163951477,8500.194090734352,13056.0154700281
2028-06-30,10888.780948230187,8662.403248731265,13209.610479340861
2028-07-31,10838.310619848291,8572.8862872733,12958.718406186734
