ds,yhat,yhat_lower,yhat_upper
2015-01-01,3486.947645277511,-3537.322621789163,10285.500559086095
2015-02-01,1909.5122911886392,-4850.367093830377,8816.07668024824
2015-03-01,2251.7835862859083,-4586.880637387482,9100.155323102535
2015-04-01,994.9133141525565,-5908.660843394097,7919.789153251029
2015-05-01,2444.601890451328,-4279.347163388467,9174.796389184075
2015-06-01,4019.769354258278,-3150.838998278806,10750.99315659928
2015-07-01,3119.36555936034,-3990.8209622778554,9791.42813844341
2015-08-01,2307.2227509112877,-4714.577662844083,8723.453636059241
2015-09-01,4846.490194109666,-1505.6067860455325,11314.523400298784
2015-10-01,5467.645368575621,-1193.713104526882,12451.47025343734
2015-11-01,3674.1085123144353,-3089.1347718742327,10450.666750692617
2015-12-01,2950.56854668676,-4052.49543687703,9639.247236210093
2016-01-01,5617.715412699574,-890.8239987490466,12056.281637671711
2016-02-01,4006.95339156506,-2988.18422330899,10561.895289662087
2016-03-01,4730.2131706334285,-1999.1183168993477,11648.522898794501
2016-04-01,2679.6208691572747,-4281.748234961733,9348.163016239672
2016-05-01,4216.238550955348,-2625.157816469474,10452.39839787316
2016-06-01,6446.151076683144,-157.2647323686001,13141.547791497966
2016-07-01,5619.655275213777,-689.1863404103834,12185.342980389989
2016-08-01,3910.572618950014,-3367.4271390024633,10509.0584938194
2016-09-01,6493.49501690177,-222.94070976535764,13053.304058187196
2016-10-01,7724.440964792023,1262.5835578506756,14595.950797130685
2016-11-01,5758.353482756099,-1256.5220917480633,12105.210536774055
2016-12-01,5317.958606849956,-1764.088023859996,11646.182343970362
2017-01-01,7359.842193775605,569.7167393397785,14127.878369534848
2017-02-01,5838.915978574933,-1270.1872597677007,12330.737535088316
2017-03-01,6613.300468341081,-265.72337670422246,13315.763178964746
2017-04-01,4824.90799589298,-2032.8930887626398,10802.009164461866
2017-05-01,6339.113851410994,-1078.686352527664,12846.053785704798
2017-06-01,8351.101263517365,1590.8032580627203,15009.120051408512
2017-07-01,7492.011637370841,1184.7598553325213,14744.491696588004
2017-08-01,6080.825670210363,-1171.9783530457998,13060.407236467841
2017-09-01,8656.841702996486,1897.049891052419,15250.927073676508
2017-10-01,9685.628388891932,2479.772451453993,16073.645176498643
2017-11-01,7774.191656359439,1265.1051555584795,14379.393894346093
2017-12-01,7236.144540582383,309.3740336210759,13931.405012597163
2018-01-01,9487.388283204178,2669.5517073148267,16055.739513271123
2018-02-01,7939.909317773063,1482.1939284237349,14411.624344198699
2018-03-01,8496.996438069566,1584.2103380408719,15758.299505273008
2018-04-01,6973.261497666318,176.28580794224104,13516.778178506984
2018-05-01,8458.487410286338,1831.7274383902775,15028.928431547534
2018-06-01,10252.145239860094,3393.741990742009,16795.349898463788
2018-07-01,9368.422180702979,2457.899009978012,15951.747749749373
2018-08-01,8256.345173081492,1615.2156090638143,15043.215317325445
2018-09-01,10817.830922707592,3946.644108204011,17260.106890986714
2018-10-01,11643.276546057808,4551.518672991628,18718.2504620812
2018-11-01,9789.359715831872,2948.0430853460452,16272.427811658315
2018-12-01,9156.935950363293,2310.6557830622337,16228.709396739006
